"genelist[, 1]",pvalues,padj
FBgn0086907,0.001144737,0.015994058
FBgn0266723,0.001153743,0.015994058
FBgn0000064,0.001168946,0.016007047
FBgn0036518,0.001164802,0.016007047
FBgn0037472,0.001175069,0.016007047
FBgn0264368,0.001173035,0.016007047
FBgn0024973,0.001211317,0.016036521
FBgn0031150,0.001188643,0.016036521
FBgn0031808,0.001212113,0.016036521
FBgn0031821,0.001197243,0.016036521
FBgn0034642,0.001200692,0.016036521
FBgn0037242,0.001190699,0.016036521
FBgn0038454,0.001187278,0.016036521
FBgn0267814,0.001209202,0.016036521
FBgn0040514,0.001223455,0.016128556
FBgn0037009,0.001261174,0.016566427
FBgn0052686,0.001272715,0.016599453
FBgn0266735,0.00127234,0.016599453
FBgn0051785,0.001282634,0.016669713
FBgn0036000,0.001289488,0.016699773
FBgn0025684,0.001296083,0.016719511
FBgn0037377,0.001300103,0.016719511
FBgn0037241,0.001319554,0.016910525
FBgn0259824,0.001346737,0.017198949
FBgn0031636,0.001353409,0.017224356
FBgn0261258,0.001382841,0.017538236
FBgn0039009,0.001390008,0.017568556
FBgn0031003,0.001397726,0.017605607
FBgn0026741,0.001436335,0.017907927
FBgn0034027,0.001431868,0.017907927
FBgn0036110,0.001433584,0.017907927
FBgn0037831,0.001441421,0.01791063
FBgn0031979,0.001446826,0.017917262
FBgn0040022,0.001458074,0.017995963
FBgn0041174,0.001463506,0.018002595
FBgn0036992,0.001484175,0.018135532
FBgn0052669,0.001480447,0.018135532
FBgn0259112,0.001497038,0.018232139
FBgn0003257,0.001509428,0.018322366
FBgn0264827,0.001527729,0.018483506
FBgn0030317,0.001547045,0.01859488
FBgn0267160,0.001545021,0.01859488
FBgn0023213,0.001557386,0.018658195
FBgn0001089,0.001571502,0.018755306
FBgn0038311,0.00157569,0.018755306
FBgn0264481,0.001595832,0.018933778
FBgn0263447,0.001634673,0.019270283
FBgn0284081,0.001630996,0.019270283
FBgn0038683,0.00164748,0.019359204
FBgn0037921,0.001652873,0.01936072
FBgn0035949,0.001676778,0.019578374
FBgn0266795,0.001701708,0.019806584
FBgn0262842,0.001712219,0.019866066
FBgn0036192,0.001732309,0.020035957
FBgn0031183,0.001758139,0.020270961
FBgn0004908,0.001771834,0.020365015
FBgn0030417,0.001798341,0.020605285
FBgn0031600,0.001859691,0.021176297
FBgn0036832,0.001858678,0.021176297
FBgn0026371,0.001892645,0.021419539
FBgn0036334,0.0018927,0.021419539
FBgn0266311,0.001942677,0.021917688
FBgn0003227,0.001979285,0.022194542
FBgn0261789,0.001977192,0.022194542
FBgn0034230,0.002000094,0.022359719
FBgn0267425,0.002029726,0.02262222
FBgn0020391,0.002109613,0.02330077
FBgn0033901,0.002109396,0.02330077
FBgn0035483,0.002098305,0.02330077
FBgn0266987,0.002119947,0.023344807
FBgn0037222,0.002223985,0.024417369
FBgn0032705,0.002240204,0.024449466
FBgn0267813,0.002234856,0.024449466
FBgn0050284,0.002256931,0.024559144
FBgn0050183,0.002278319,0.024718753
FBgn0025469,0.002292946,0.024804279
FBgn0036255,0.002318313,0.025005145
FBgn0031310,0.002325158,0.025005646
FBgn0004513,0.002344247,0.02513744
FBgn0037310,0.002358179,0.02521332
FBgn0035844,0.002411142,0.02557594
FBgn0266384,0.002412956,0.02557594
FBgn0266629,0.00240332,0.02557594
FBgn0267617,0.002443119,0.025821242
FBgn0003312,0.002481638,0.026078472
FBgn0034724,0.002481592,0.026078472
FBgn0033257,0.002509603,0.026297206
FBgn0034708,0.002533629,0.026473545
FBgn0265205,0.002570143,0.026778997
FBgn0266303,0.002618064,0.02720124
FBgn0264679,0.002630116,0.027249483
FBgn0000180,0.002690279,0.027550588
FBgn0025833,0.002680467,0.027550588
FBgn0033569,0.002674072,0.027550588
FBgn0038740,0.002696632,0.027550588
FBgn0263846,0.002688874,0.027550588
FBgn0002937,0.002744358,0.02763804
FBgn0015359,0.002735908,0.02763804
FBgn0026738,0.002748682,0.02763804
FBgn0031877,0.002750278,0.02763804
FBgn0032957,0.002724158,0.02763804
FBgn0052181,0.002736712,0.02763804
FBgn0026602,0.002804131,0.02806192
FBgn0264327,0.002807718,0.02806192
FBgn0036005,0.002824189,0.028104952
FBgn0266628,0.002827306,0.028104952
FBgn0040391,0.002839715,0.028152212
FBgn0014949,0.002853499,0.028212816
FBgn0051119,0.00287794,0.028378189
FBgn0031866,0.002938317,0.028881152
FBgn0039846,0.002944653,0.028881152
FBgn0263445,0.002961116,0.028965386
