"","ACO.14.1","ACO.14.2","ACO.14.3","ACO.14.4","ACO.14.5","AO.14.1","AO.14.2","AO.14.3","AO.14.4","AO.14.5","CO.14.1","CO.14.2","CO.14.3","CO.14.4","CO.14.5","nCO.14.1","nCO.14.2","nCO.14.3","nCO.14.4","nCO.14.5"
"FBgn0025109",37.2310299420618,35.366546738382,31.3006551486103,35.6030031813522,27.9828529930884,31.5665912726278,32.1614085830033,34.2988415849443,46.7388752720107,29.7095230132098,32.3094211194192,31.4496171515612,23.5641465687897,29.7495239612891,22.533850165594,45.2239891827928,41.9134559420604,32.9303008720678,29.0627507782125,33.9762202965423
"FBgn0025352",10.777403404281,10.7637316160293,11.7377456807288,14.0756059089067,7.89259956215313,13.2376027917472,7.03530812753198,15.1318418757107,2.2256607272386,8.80282163354365,4.61563158848846,14.7420080397943,4.36373084607217,8.70717774476753,8.30194479785044,13.3616331676433,9.92687114417219,8.03178070050433,6.35747673273398,6.60648727988322
"FBgn0025373",27.4333904836245,23.0651391772057,20.8671034324068,17.3875131815906,14.3501810220966,31.5665912726278,30.1513205465656,25.2197364595179,35.6105716358176,26.408464900631,21.5396140796128,16.7076091117669,23.5641465687897,15.2375610533432,14.2319053677436,20.5563587194513,23.1626993364018,24.095342101513,22.7052740454785,16.044326251145
"FBgn0025394",28.4131544294682,23.0651391772057,27.388073255034,16.5595363634196,30.8528891975077,12.2193256539204,31.1563645647845,31.2724732098022,13.3539643634316,57.2183406180338,10.7698070398064,10.8108058958492,17.4549233842887,16.6887573441378,16.6038895957009,7.19472555180795,19.8537422883444,16.8667394710591,13.6231644272871,6.60648727988322
"FBgn0025469",142.065772147341,149.154566679263,130.419396452543,116.744731362108,114.801448176773,127.284642228338,169.852439078986,134.168997964635,166.924554542895,123.239502869611,104.620982672405,88.4520482387658,100.36580945966,120.449292135951,136.389093107543,121.282516444763,97.0627400763503,122.083066647666,86.2800413728183,113.254067655141
"FBgn0025582",21.5548068085621,18.4521113417645,19.5629094678814,18.2154899997616,18.6552353287256,20.3655427565341,19.0958363461582,16.1406313340914,23.3694376360053,19.8063486754732,12.3083509026359,15.7248085757806,13.0911925382165,20.3167480711242,21.3478580516154,10.2781793597256,22.059713653716,17.6699175411095,9.99032058001054,17.9318940453973
"FBgn0025592",5.87858367506239,9.22605567088227,3.91258189357628,9.93572181805178,7.1750905110483,12.2193256539204,7.03530812753198,3.02636837514214,5.56415181809651,6.60211622515774,8.46199124556217,9.82800535986287,8.72746169214433,5.07918701778106,10.6739290258077,6.16690761583538,5.514928413429,9.6381368406052,7.26568769455312,10.3816228683879
"FBgn0025615",20.5750428627184,35.366546738382,23.4754913614577,23.1833509087875,25.8303258397739,28.5117598591477,28.1412325101279,21.184578625995,37.8362323630563,23.1074067880521,26.924517599516,21.6216117916983,31.4188620917196,26.8471313796999,33.2077791914017,16.445086975561,24.2656850190876,23.2921640314626,29.9709617400316,30.2010847080376
"FBgn0025624",42.1298496712805,33.828870793235,53.4719525455425,54.6464699992848,36.5929616063463,49.8955797535085,54.2723769838181,49.430683460655,40.0618930902949,39.6126973509464,26.924517599516,54.0540294792458,48.0010393067938,23.2191406527134,47.4396845591454,48.3074429907105,46.3253986728036,55.4192868334799,54.4926577091484,35.8637880907946
"FBgn0025625",72.5025319924361,36.9042226835291,53.4719525455425,99.3572181805178,242.518059273433,64.1514596830824,24.1210564372525,51.4482623774164,23.3694376360053,27.5088176048239,15.3854386282949,43.2432235833966,16.5821772150742,13.7863647625486,21.3478580516154,14.3894511036159,20.9567279710302,15.2603833309582,14.5313753891062,16.044326251145
"FBgn0025626",10.777403404281,4.61302783544113,6.52096982262714,14.9035827270777,32.2879072997174,9.16449424044034,8.04035214575083,6.05273675028429,5.56415181809651,4.40141081677183,1.53854386282949,1.96560107197257,2.6182385076433,1.45119629079459,2.37198422795727,1.02781793597256,6.6179140961148,1.60635614010087,2.72463288545742,4.71891948563087
"FBgn0025628",80.340643559186,78.4214732024993,65.2096982262714,69.5500527263625,167.89711795853,85.5352795774431,49.2471568927238,77.676788295315,58.980009271823,58.3186933222267,64.6188422388384,51.1056278712869,39.2735776146495,63.1270386495646,62.8575820408676,55.5021685425184,47.4283843554894,53.812930693379,42.6859152054996,35.8637880907946
"FBgn0025629",43.1096136171242,24.6028151223527,43.0384008293391,51.3345627266009,56.6832150372816,37.6762540995881,17.0857483097205,26.2285259178986,18.9181161815281,29.7095230132098,35.3865088450782,30.4668166155749,25.3096389072186,21.7679443619188,36.7657555333376,32.890173951122,26.4716563844592,25.7016982416139,41.7777042436804,21.707029633902
"FBgn0025630",57.8060728047802,69.195417531617,62.6013102972205,70.3780295445335,58.1182331394913,77.3890624748295,61.3076851113501,47.4131045438936,43.4003841811528,80.3257474060859,66.9266580330826,57.9852316231909,69.8196935371547,50.0662720324133,59.2996056989317,86.3367066216954,66.179140961148,65.0574236740851,69.0240330982546,67.9524405930846
"FBgn0025631",118.551437447092,16.9144353966175,82.1642197651019,133.304267725528,269.065894164311,139.503967882258,33.1664526012222,63.553735877985,42.2875538175335,25.308112196438,10.7698070398064,28.5012155436023,6.10922318450103,10.8839721809594,7.1159526838718,18.5007228475061,16.544785240287,6.42542456040347,7.26568769455312,12.2691906626403
"FBgn0025632",126.389549013841,112.250343995734,126.506814558966,155.659641816145,124.84657489224,157.832956363139,133.670854423108,147.283260923584,160.247572361179,146.346909657663,103.85171074099,132.678072358149,144.875864089596,154.552404969624,123.343179853778,128.47724199657,104.783639855151,138.949806118725,128.057745616499,86.8281185356081
"FBgn0025635",5.87858367506239,13.8390835063234,6.52096982262714,5.79583772719687,11.4801448176773,3.05483141348011,7.03530812753198,6.05273675028429,3.33849109085791,6.60211622515774,7.69271931414743,4.91400267993143,6.10922318450103,10.1583740355621,3.5579763419359,3.08345380791769,6.6179140961148,4.01589035025217,9.0821096181914,6.60648727988322
"FBgn0025638",42.1298496712805,27.6781670126468,23.4754913614577,50.5065859084299,36.5929616063463,49.8955797535085,34.171496619441,48.4218940022743,43.4003841811528,44.0141081677183,30.7708772565897,36.3636198314926,25.3096389072186,21.7679443619188,39.1377397612949,38.0292636309849,31.9865847978882,44.1747938527738,39.053071358223,28.3135169137852
"FBgn0025639",18.6155149710309,15.3767594514705,11.7377456807288,13.2476290907357,21.5252715331449,22.4020970321875,13.0655722368451,11.0966840421879,15.5796250906702,22.0070540838591,17.6932544225391,7.86240428789029,24.4368927380041,16.6887573441378,17.7898817096795,12.3338152316708,14.3388138749154,19.2762736812104,19.0724301982019,18.8756779425235
